cycle,time_ns,i_in_real,v_mem_real,exp_vmem_real,exp_vmem_pre_real,spike,exp_spike,exc_delayed_real,inh_delayed_real
75,795.000000,0.449951,0.351562,0.351562,0.351562,0,0,0.449951,0.000000
76,805.000000,0.000000,0.787354,0.787354,0.787354,0,0,0.000000,0.000000
77,815.000000,0.000000,0.755615,0.755615,0.755615,0,0,0.000000,0.000000
78,825.000000,0.000000,0.725342,0.725342,0.725342,0,0,0.000000,0.000000
79,835.000000,0.000000,0.696289,0.696289,0.696289,0,0,0.000000,0.000000
80,845.000000,0.000000,0.668213,0.668213,0.668213,0,0,0.000000,0.000000
81,855.000000,0.000000,0.641357,0.641357,0.641357,0,0,0.000000,0.000000
82,865.000000,0.000000,0.615479,0.615479,0.615479,0,0,0.000000,0.000000
83,875.000000,0.000000,0.590820,0.590820,0.590820,0,0,0.000000,0.000000
84,885.000000,0.000000,0.567139,0.567139,0.567139,0,0,0.000000,0.000000
85,895.000000,0.000000,0.544189,0.544189,0.544189,0,0,0.000000,0.000000
86,905.000000,0.000000,0.522217,0.522217,0.522217,0,0,0.000000,0.000000
87,915.000000,0.000000,0.501221,0.501221,0.501221,0,0,0.000000,0.000000
88,925.000000,0.000000,0.480957,0.480957,0.480957,0,0,0.000000,0.000000
89,935.000000,0.000000,0.461670,0.461670,0.461670,0,0,0.000000,0.000000
90,945.000000,0.000000,0.443115,0.443115,0.443115,0,0,0.000000,0.000000
91,955.000000,0.000000,0.425293,0.425293,0.425293,0,0,0.000000,0.000000
92,965.000000,0.000000,0.408203,0.408203,0.408203,0,0,0.000000,0.000000
93,975.000000,0.000000,0.391846,0.391846,0.391846,0,0,0.000000,0.000000
94,985.000000,0.000000,0.375977,0.375977,0.375977,0,0,0.000000,0.000000
95,995.000000,0.000000,0.360840,0.360840,0.360840,0,0,0.000000,0.000000
96,1005.000000,0.000000,0.346191,0.346191,0.346191,0,0,0.000000,0.000000
97,1015.000000,0.000000,0.332275,0.332275,0.332275,0,0,0.000000,0.000000
98,1025.000000,0.000000,0.318848,0.318848,0.318848,0,0,0.000000,0.000000
99,1035.000000,0.000000,0.305908,0.305908,0.305908,0,0,0.000000,0.000000
100,1045.000000,-0.250000,0.293457,0.293457,0.293457,0,0,0.000000,0.250000
101,1055.000000,0.449951,0.031494,0.031494,0.031494,0,0,0.449951,0.000000
102,1065.000000,0.449951,0.479980,0.479980,0.479980,0,0,0.449951,0.000000
103,1075.000000,0.000000,0.910645,0.910645,0.910645,0,0,0.000000,0.000000
104,1085.000000,0.000000,0.874023,0.874023,0.874023,0,0,0.000000,0.000000
105,1095.000000,0.000000,0.838867,0.838867,0.838867,0,0,0.000000,0.000000
106,1105.000000,0.000000,0.805176,0.805176,0.805176,0,0,0.000000,0.000000
107,1115.000000,0.000000,0.772705,0.772705,0.772705,0,0,0.000000,0.000000
108,1125.000000,0.000000,0.741699,0.741699,0.741699,0,0,0.000000,0.000000
109,1135.000000,0.000000,0.711914,0.711914,0.711914,0,0,0.000000,0.000000
110,1145.000000,0.000000,0.683350,0.683350,0.683350,0,0,0.000000,0.000000
111,1155.000000,0.000000,0.655762,0.655762,0.655762,0,0,0.000000,0.000000
112,1165.000000,0.000000,0.629395,0.629395,0.629395,0,0,0.000000,0.000000
113,1175.000000,0.000000,0.604004,0.604004,0.604004,0,0,0.000000,0.000000
114,1185.000000,0.000000,0.579590,0.579590,0.579590,0,0,0.000000,0.000000
115,1195.000000,0.000000,0.556152,0.556152,0.556152,0,0,0.000000,0.000000
116,1205.000000,0.000000,0.533691,0.533691,0.533691,0,0,0.000000,0.000000
117,1215.000000,0.000000,0.512207,0.512207,0.512207,0,0,0.000000,0.000000
118,1225.000000,0.000000,0.491455,0.491455,0.491455,0,0,0.000000,0.000000
119,1235.000000,0.000000,0.471680,0.471680,0.471680,0,0,0.000000,0.000000
120,1245.000000,0.000000,0.452637,0.452637,0.452637,0,0,0.000000,0.000000
121,1255.000000,0.449951,0.434326,0.434326,0.434326,0,0,0.449951,0.000000
122,1265.000000,0.000000,0.866699,0.866699,0.866699,0,0,0.000000,0.000000
123,1275.000000,0.000000,0.831787,0.831787,0.831787,0,0,0.000000,0.000000
