cycle,time_ns,scene,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real,n0_i_real,n1_i_real,n0_g_exc_real,n1_g_exc_real
52,520.000000,step_drive,1,0,0,0,0.000000,-7.458008,2.109375,-0.411377,2.187500,0.000000
53,530.000000,step_drive,1,0,0,0,0.000000,-7.570801,2.028564,-0.411621,2.109375,0.000000
54,540.000000,step_drive,1,0,0,0,0.000000,-7.679443,1.958008,-0.411865,2.028564,0.000000
55,550.000000,step_drive,1,0,1,0,0.000000,-7.783936,1.881836,-0.412109,1.958008,0.000000
56,560.000000,step_drive,1,0,0,0,0.000000,-7.884521,1.801270,-0.412354,1.881836,0.000000
57,570.000000,step_drive,1,0,0,0,0.000000,-7.981201,1.717285,-0.412598,1.801270,0.000000
58,580.000000,step_drive,1,0,0,0,0.000000,-8.000000,1.630371,-0.412842,1.717285,0.000000
59,590.000000,step_drive,1,0,0,0,0.000000,-8.000000,1.531738,-0.412842,1.630371,0.000000
60,600.000000,step_drive,1,0,1,0,0.000000,-8.000000,1.429443,-0.412842,1.531738,0.000000
61,610.000000,step_drive,1,0,0,0,0.000000,-8.000000,1.324463,-0.412842,1.429443,0.000000
62,620.000000,step_drive,1,0,0,0,0.000000,-8.000000,1.217285,-0.412842,1.324463,0.000000
63,630.000000,step_drive,1,0,0,0,0.000000,-8.000000,1.109131,-0.412842,1.218262,0.000000
64,640.000000,step_drive,1,0,0,0,0.000000,-8.000000,1.001953,-0.412842,1.120605,0.000000
65,650.000000,step_drive,1,0,1,0,0.000000,-8.000000,0.892334,-0.412842,1.030762,0.000000
66,660.000000,step_drive,1,0,0,0,0.000000,-8.000000,0.781494,-0.412842,0.947998,0.000000
67,670.000000,step_drive,1,0,0,0,0.000000,-8.000000,0.669922,-0.412842,0.872070,0.000000
68,680.000000,step_drive,1,0,0,0,0.000000,-8.000000,0.558838,-0.412842,0.802002,0.000000
69,690.000000,step_drive,1,0,0,0,0.000000,-8.000000,0.458984,-0.412842,0.737549,0.000000
70,700.000000,step_drive,1,0,0,0,0.458984,-8.000000,0.356689,-0.412842,0.678467,0.000000
71,710.000000,step_drive,1,0,0,0,0.797119,-8.000000,0.253174,-0.412842,0.624023,0.000000
72,720.000000,step_drive,1,0,1,0,0.000000,-8.000000,0.149170,-0.412842,0.573975,0.000000
73,730.000000,step_drive,1,0,0,0,0.000000,-8.000000,0.045654,-0.412842,0.527832,0.000000
74,740.000000,step_drive,1,0,0,0,0.000000,-8.000000,-0.056885,-0.412842,0.485352,0.000000
75,750.000000,step_drive,1,0,0,0,0.000000,-8.000000,-0.157959,-0.412842,0.446289,0.000000
76,760.000000,step_drive,1,0,0,0,0.000000,-8.000000,-0.266602,-0.412842,0.410400,0.000000
77,770.000000,step_drive,1,0,0,0,-0.266602,-8.000000,-0.374756,-0.412842,0.377441,0.000000
78,780.000000,step_drive,1,0,0,0,-0.630859,-8.000000,-0.481689,-0.412842,0.347168,0.000000
79,790.000000,step_drive,1,0,0,0,-1.087402,-8.000000,-0.587158,-0.412842,0.319336,0.000000
80,800.000000,step_drive,1,0,0,0,-1.631104,-8.000000,-0.690918,-0.412842,0.293701,0.000000
81,810.000000,step_drive,1,0,0,0,-2.256836,-8.000000,-0.792480,-0.412842,0.270020,0.000000
82,820.000000,step_drive,1,0,0,0,-2.958984,-8.000000,-0.891357,-0.412842,0.248291,0.000000
83,830.000000,step_drive,1,0,0,0,-3.731934,-8.000000,-0.987549,-0.412842,0.228271,0.000000
84,840.000000,step_drive,1,0,0,0,-4.570068,-8.000000,-1.080566,-0.412842,0.209961,0.000000
85,850.000000,step_drive,1,0,0,0,-5.467773,-8.000000,-1.170898,-0.412842,0.193115,0.000000
86,860.000000,step_drive,1,0,0,0,-6.419922,-8.000000,-1.258057,-0.412842,0.177490,0.000000
87,870.000000,step_drive,1,0,0,0,-7.421143,-8.000000,-1.341797,-0.412842,0.163086,0.000000
88,880.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.422607,-0.412842,0.149902,0.000000
89,890.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.500244,-0.412842,0.137695,0.000000
90,900.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.574463,-0.412842,0.126465,0.000000
91,910.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.645752,-0.412842,0.116211,0.000000
92,920.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.713623,-0.412842,0.106689,0.000000
93,930.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.778809,-0.412842,0.098145,0.000000
94,940.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.841064,-0.412842,0.090088,0.000000
95,950.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.900635,-0.412842,0.082764,0.000000
96,960.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-1.957275,-0.412842,0.075928,0.000000
97,970.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.011230,-0.412842,0.069824,0.000000
98,980.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.062744,-0.412842,0.064209,0.000000
99,990.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.112061,-0.412842,0.058838,0.000000
100,1000.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.158936,-0.412842,0.053955,0.000000
101,1010.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.203613,-0.412842,0.049561,0.000000
102,1020.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.245850,-0.412842,0.045410,0.000000
103,1030.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.286133,-0.412842,0.041748,0.000000
104,1040.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.324463,-0.412842,0.038330,0.000000
105,1050.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.361084,-0.412842,0.035156,0.000000
